backhand,rank,name,country_name,country_id,active,dob,totalPoints,tournamentPoints,rankingPoints,achievementsPoints,tGPoints,tFLPoints,tMPoints,tOPoints,tABPoints,tDTPoints,yearEndRankPoints,bestRankPoints,weeksAtNo1Points,weeksAtEloTopNPoints,bestEloRatingPoints,grandSlamPoints,bigWinsPoints,h2hPoints,recordsPoints,bestSeasonPoints,greatestRivalriesPoints,performancePoints,statisticsPoints,grandSlams,tourFinals,altFinals,masters,olympics,bigTitles,titles,weeksAtNo1,won,lost,bestEloRating,bestEloRatingDate,wonPct
Two-handed,1,Novak Djokovic,Serbia,SRB,TRUE,5/22/87,1102,595,241,266,272,58,214,1,45,5,92,8,40,61,40,56,51,26,94,9,8,20,2,24,7,0,40,0,71,98,404,1084,210,2629,2/1/16,83.80%
One-handed,2,Roger Federer,Switzerland,SUI,FALSE,8/8/81,924,566,200,158,246,65,172,2,80,1,83,8,31,60,18,32,40,18,55,3,3,4,3,20,6,0,28,0,54,103,310,1245,275,2550,3/5/07,81.90%
Two-handed,3,Rafael Nadal,Spain,ESP,FALSE,6/3/86,885,526,186,173,233,21,201,3,62,6,86,8,21,50,21,38,40,23,50,0,6,7,9,22,0,0,36,1,59,92,209,1066,219,2552,9/9/13,83.00%
Two-handed,4,Jimmy Connors,United States,USA,FALSE,9/2/52,616,402,151,63,134,31,121,0,115,1,73,8,27,37,6,5,24,12,19,0,0,2,1,8,1,2,20,0,31,109,268,1275,285,2521,10/29/78,81.70%
One-handed,5,Ivan Lendl,United States,USA,FALSE,3/7/60,604,395,141,68,132,63,101,0,98,1,55,8,27,39,12,6,27,18,14,0,1,2,0,8,5,2,18,0,33,94,270,1069,242,2518,3/24/86,81.50%
One-handed,6,Pete Sampras,United States,USA,FALSE,8/12/71,522,316,140,66,144,52,72,0,45,3,58,8,29,42,3,11,21,19,14,0,0,1,0,14,5,2,11,0,32,64,286,762,222,2407,5/16/94,77.40%
One-handed,7,John McEnroe,United States,USA,FALSE,2/16/59,512,321,128,63,95,53,86,0,77,10,48,8,17,31,24,5,24,14,16,2,0,2,0,7,3,5,17,0,32,77,170,881,198,2583,4/8/85,81.60%
Two-handed,8,Bjorn Borg,Sweden,SWE,FALSE,6/6/56,480,254,132,94,114,29,53,0,56,2,37,8,11,33,43,12,21,25,17,0,0,17,2,11,2,1,11,0,25,66,109,650,138,2622,7/7/80,82.50%
Two-handed,9,Andre Agassi,United States,USA,FALSE,4/29/70,417,292,82,43,124,25,91,3,46,3,33,8,10,31,0,12,15,13,1,0,0,1,1,8,1,0,17,1,27,60,101,870,274,2376,9/29/95,76.00%
One-handed,10,Rod Laver,Australia,AUS,FALSE,8/9/38,389,202,101,86,45,10,84,0,61,2,35,8,22,28,8,21,17,19,19,5,0,5,0,5,0,2,18,0,25,72,219,571,145,2509,9/10/69,79.70%
One-handed,11,Boris Becker,Germany,GER,FALSE,11/22/67,368,267,61,40,85,50,77,0,49,6,27,8,1,23,2,2,17,16,5,0,0,0,0,6,3,2,12,0,23,49,12,713,214,2419,11/6/89,76.90%
One-handed,12,Stefan Edberg,Sweden,SWE,FALSE,1/19/66,328,243,62,23,91,24,62,4,54,8,33,8,7,14,0,3,14,5,1,0,0,0,0,6,1,0,6,1,14,42,72,804,271,2370,11/19/90,74.80%
Two-handed,13,Andy Murray,United Kingdom,GBR,TRUE,5/15/87,313,228,55,30,85,17,82,6,36,2,26,8,4,15,2,0,16,11,2,0,1,0,0,3,1,0,14,2,20,46,41,732,249,2500,11/21/16,74.60%
Two-handed,14,Mats Wilander,Sweden,SWE,FALSE,8/22/64,243,179,38,26,84,9,50,0,28,8,21,8,2,7,0,5,11,7,3,0,0,0,0,7,0,0,8,0,15,33,20,569,223,2371,10/3/88,71.80%
One-handed,15,Guillermo Vilas,Argentina,ARG,FALSE,8/17/52,242,191,32,19,63,19,34,0,74,1,18,5,0,7,2,1,8,7,3,0,0,0,0,4,1,0,3,0,8,62,0,943,291,2431,12/5/77,76.40%
One-handed,16,Ilie Nastase,Romania,ROU,FALSE,7/19/46,228,163,46,19,36,27,35,0,63,2,19,8,9,10,0,0,9,5,3,0,0,2,0,2,4,0,6,0,12,65,88,891,333,2363,9/15/76,72.80%
One-handed,17,Ken Rosewall,Australia,AUS,FALSE,11/2/34,220,159,40,21,60,12,46,0,41,0,15,8,3,14,0,1,10,7,3,0,0,0,0,4,0,2,7,0,13,40,26,540,193,2388,6/10/68,73.70%
One-handed,18,Arthur Ashe,United States,USA,FALSE,7/10/43,211,174,23,14,47,17,53,0,52,5,14,5,0,4,0,0,7,7,0,0,0,0,0,3,0,1,4,0,8,45,0,783,258,2354,3/11/76,75.20%
One-handed,19,John Newcombe,Australia,AUS,FALSE,5/23/44,210,160,35,15,62,8,44,0,44,2,18,8,1,8,0,2,9,4,0,0,0,0,0,5,0,1,6,0,12,41,8,564,224,2327,8/17/71,71.60%
Two-handed,20,Lleyton Hewitt,Australia,AUS,FALSE,2/24/81,180,114,52,14,39,15,30,0,26,4,21,8,8,15,0,0,5,9,0,0,0,0,0,2,2,0,2,0,6,30,80,616,262,2295,3/18/02,70.20%
Two-handed,21,Andy Roddick,United States,USA,FALSE,8/30/82,169,125,33,11,43,8,39,0,34,1,16,8,1,8,0,0,4,7,0,0,0,0,0,1,0,0,5,0,6,32,13,610,213,2274,9/8/03,74.10%
Two-handed,22,Jim Courier,United States,USA,FALSE,8/17/70,168,116,37,15,56,7,30,0,22,1,16,8,6,7,0,3,6,6,0,0,0,0,0,4,0,0,5,0,9,23,58,506,237,2330,6/8/92,68.10%
