rank,name,year,backhand
6,Ken Rosewall,1973,One-handed
8,Rod Laver,1973,One-handed
10,Arthur Ashe,1973,One-handed
4,Tom Okker,1973,One-handed
2,John Newcombe,1973,One-handed
9,Jan Kodes,1973,One-handed
1,Ilie Nastase,1973,One-handed
5,Stan Smith,1973,One-handed
7,Manuel Orantes,1973,One-handed
3,Jimmy Connors,1973,Two-handed
9,Ken Rosewall,1974,One-handed
4,Rod Laver,1974,One-handed
7,Arthur Ashe,1974,One-handed
6,Tom Okker,1974,One-handed
2,John Newcombe,1974,One-handed
10,Ilie Nastase,1974,One-handed
8,Stan Smith,1974,One-handed
5,Guillermo Vilas,1974,One-handed
1,Jimmy Connors,1974,Two-handed
3,Bjorn Borg,1974,Two-handed
6,Ken Rosewall,1975,One-handed
10,Rod Laver,1975,One-handed
4,Arthur Ashe,1975,One-handed
7,Ilie Nastase,1975,One-handed
5,Manuel Orantes,1975,One-handed
8,John Alexander,1975,One-handed
9,Roscoe Tanner,1975,One-handed
2,Guillermo Vilas,1975,One-handed
1,Jimmy Connors,1975,Two-handed
3,Bjorn Borg,1975,Two-handed
3,Ilie Nastase,1976,One-handed
4,Manuel Orantes,1976,One-handed
7,Adriano Panatta,1976,One-handed
9,Eddie Dibbs,1976,Two-handed
10,Brian Gottfried,1976,One-handed
6,Guillermo Vilas,1976,One-handed
1,Jimmy Connors,1976,Two-handed
8,Harold Solomon,1976,Two-handed
5,Raul Ramirez,1976,One-handed
2,Bjorn Borg,1976,Two-handed
6,Eddie Dibbs,1978,Two-handed
7,Brian Gottfried,1978,One-handed
3,Guillermo Vilas,1978,One-handed
1,Jimmy Connors,1978,Two-handed
9,Harold Solomon,1978,Two-handed
10,Corrado Barazzutti,1978,One-handed
8,Raul Ramirez,1978,One-handed
5,Vitas Gerulaitis,1978,One-handed
2,Bjorn Borg,1978,Two-handed
4,John McEnroe,1978,One-handed
7,Arthur Ashe,1979,One-handed
10,Eddie Dibbs,1979,Two-handed
5,Roscoe Tanner,1979,One-handed
6,Guillermo Vilas,1979,One-handed
2,Jimmy Connors,1979,Two-handed
8,Harold Solomon,1979,Two-handed
9,Jose Higueras,1979,One-handed
4,Vitas Gerulaitis,1979,One-handed
1,Bjorn Borg,1979,Two-handed
3,John McEnroe,1979,One-handed
1,Jimmy Connors,1977,Two-handed
2,Bjorn Borg,1977,Two-handed
3,Guillermo Vilas,1977,One-handed
4,Brian Gottfried,1977,One-handed
5,Vitas Gerulaitis,1977,One-handed
6,Manuel Orantes,1977,One-handed
7,Eddie Dibbs,1977,Two-handed
8,Raul Ramirez,1977,One-handed
9,Ilie Nastase,1977,One-handed
10,Dick Stockton,1977,One-handed
1,John McEnroe,1984,One-handed
2,Jimmy Connors,1984,Two-handed
3,Ivan Lendl,1984,One-handed
4,Mats Wilander,1984,Two-handed
5,Andres Gomez,1984,One-handed
6,Anders Jarryd,1984,Two-handed
7,Henrik Sundstrom,1984,One-handed
8,Eliot Teltscher,1984,One-handed
9,Yannick Noah,1984,One-handed
10,Pat Cash,1984,One-handed
1,Ivan Lendl,1985,One-handed
2,John McEnroe,1985,One-handed
3,Mats Wilander,1985,Two-handed
4,Jimmy Connors,1985,Two-handed
5,Stefan Edberg,1985,One-handed
6,Boris Becker,1985,One-handed
7,Yannick Noah,1985,One-handed
8,Anders Jarryd,1985,Two-handed
9,Miloslav Mecir,1985,Two-handed
10,Kevin Curren,1985,One-handed
1,Ivan Lendl,1986,One-handed
2,Boris Becker,1986,One-handed
3,Mats Wilander,1986,Two-handed
4,Yannick Noah,1986,One-handed
5,Stefan Edberg,1986,One-handed
6,Henri Leconte,1986,One-handed
7,Joakim Nystrom,1986,Two-handed
8,Jimmy Connors,1986,Two-handed
9,Miloslav Mecir,1986,Two-handed
10,Andres Gomez,1986,One-handed
1,Ivan Lendl,1987,One-handed
2,Stefan Edberg,1987,One-handed
3,Mats Wilander,1987,Two-handed
4,Jimmy Connors,1987,Two-handed
5,Boris Becker,1987,One-handed
6,Miloslav Mecir,1987,Two-handed
7,Pat Cash,1987,One-handed
8,Yannick Noah,1987,One-handed
9,Tim Mayotte,1987,One-handed
10,John McEnroe,1987,One-handed
1,Mats Wilander,1988,Two-handed
