tournament,cpi,surface,year
Miami,31.5,outdoor hard,2013
Cincinnati,30,outdoor hard,2013
Paris,31.2,indoor hard,2013
ATP Finals,33.9,indoor hard,2013
Miami,29.8,outdoor hard,2014
Cincinnati,29.3,outdoor hard,2014
Paris,32,indoor hard,2014
ATP Finals,34,indoor hard,2014
Miami,33.1,outdoor hard,2015
Cincinnati,35.9,outdoor hard,2015
Paris,29.9,indoor hard,2015
ATP Finals,34.6,indoor hard,2015
Miami,33.1,outdoor hard,2016
Cincinnati,35.1,outdoor hard,2016
Paris,39.1,indoor hard,2016
ATP Finals,42.1,indoor hard,2016
Miami,30.3,outdoor hard,2017
Cincinnati,33.6,outdoor hard,2017
Paris,37.5,indoor hard,2017
ATP Finals,42.1,indoor hard,2017
Miami,30.4,outdoor hard,2018
Cincinnati,31.6,outdoor hard,2018
Paris,34.6,indoor hard,2018
ATP Finals,40.3,indoor hard,2018
Miami,36.5,outdoor hard,2019
Cincinnati,37.4,outdoor hard,2019
Paris,40.6,indoor hard,2019
ATP Finals,41.6,indoor hard,2019
